timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,synthetic_time_ms,event,prediction_float,prediction_binary
324343136337960,8.09719,-3.0358477,2.5881321,-1.0983357,0.6365216,-2.2638667,560780,,0.0063777454,0.0
324343156336306,7.493851,-3.550601,3.241749,-0.88697636,0.52534413,-2.1526892,560800,,0.0063777454,0.0
324343176397806,7.1155677,-3.58412,3.5362358,-0.84299403,0.38240165,-1.9645426,560820,,0.0063777454,0.0
324343196396498,6.5816603,-4.570531,4.5058875,-0.88331115,0.27000242,-1.7629571,560840,,0.0063777454,0.0
324343216452498,5.5760956,-5.1810527,4.8386817,-0.75747293,0.1685988,-1.5210545,560860,,0.0063777454,0.0
324343236443498,4.805163,-5.554548,5.6431336,-0.5815437,0.07696902,-1.2986995,560880,,0.0063777454,0.0
324343256506959,4.7500963,-6.447585,6.706159,-0.15760323,-0.056199603,-1.0384709,560900,,0.0063777454,0.0
324343276520882,4.1060557,-7.1395097,6.799533,0.37995818,-0.17470746,-0.7440339,560920,,0.0063777454,0.0
324343296591344,3.9360676,-7.651869,6.2991447,0.816116,-0.3371976,-0.3359759,560940,,0.0063777454,0.0
324343316579113,4.2880154,-7.908048,5.770026,1.2461652,-0.50701815,0.028099801,560960,,0.0063777454,0.0
324343336637497,5.341464,-7.979874,4.7285485,1.7238617,-0.6914995,0.46914452,560980,,0.0063777454,0.0
324343356640151,6.612785,-7.8410106,3.7062242,1.8228219,-0.8197812,0.89675015,561000,,0.0063777454,0.0
324343376698728,6.4260373,-7.5465236,2.72939,1.5222762,-0.8527679,1.3720033,561020,,0.0063777454,0.0
324343396697151,6.4619503,-7.599196,1.496376,1.187522,-0.9309586,1.7654005,561040,,0.0063777454,0.0
324343416771728,7.5584946,-7.7931266,0.79008657,1.0763446,-1.1313224,2.2308798,561060,,0.006724423,0.0
324343436773651,9.033323,-7.848193,0.36391866,1.269378,-1.409877,2.6780334,561080,,0.006724423,0.0
324343456832305,9.904813,-7.687782,0.14604631,1.6236799,-1.6859881,3.1031954,561100,,0.006724423,0.0
324343476830766,10.718841,-7.8050976,-0.11252748,2.0659463,-1.9401081,3.3903022,561120,,0.006724423,0.0
324343496889228,11.238382,-7.9511437,-0.5363012,2.8417451,-2.2198844,3.7604864,561140,,0.006724423,0.0
