timestamp,x,y,z
88366445474421,-1.4101849,-7.9343843,4.0294414
88366464003075,-1.3455414,-8.192958,4.074931
88366484022383,-2.243367,-8.303091,4.1706996
88366504048806,-3.1651347,-6.682217,4.010288
88366524054805,-3.1675289,-5.9783216,3.964798
88366544083921,-1.352724,-7.9511437,3.9001546
88366564104498,-1.5346833,-9.545682,4.7668557
88366584674998,-2.7030537,-7.9990277,5.5042696
88366606461767,-1.5370775,-7.9128366,5.0661306
88366624170651,-0.320823,-9.380483,5.2600613
88366644196228,-1.091756,-10.13705,5.279215
88366664211920,-1.7118542,-9.239224,5.1786585
88366684226305,0.05267244,-8.9519205,5.74369
88366704241843,-0.15801731,-9.607931,5.81791
88366724264497,-0.45968673,-8.793902,5.825093
88366744840689,-0.62488663,-8.520964,6.007052
88366765859189,0.19632454,-9.52174,6.6103907
88366784352958,-0.0023942017,-10.366894,7.0700774
88366804375381,-0.7517793,-10.18254,6.991069
88366824403804,0.36631286,-9.931149,6.567295
88366844429920,-0.09816227,-9.41879,6.0381765
88366864459997,-0.82121116,-8.690952,5.2265425
88366884484381,-0.29209262,-8.078036,4.7261543
88366905071612,-0.38307226,-7.560889,4.3837833
88366926870419,-0.521936,-7.2424603,3.845088
88366944582381,-0.06703765,-7.52737,3.3542767
88366964613919,-0.04070143,-8.911219,3.25372
88366984634535,-1.0486604,-8.274361,3.2369606
88367004657727,-1.9081788,-7.529764,3.2561142
88367024686227,-0.8595184,-8.221688,3.3614593
88367044710573,-0.44771573,-8.578424,3.4476504
88367065293034,-0.009576807,-8.724471,3.098097
88367086274650,-0.4357447,-9.119514,3.1387985
88367104804188,-0.12210429,-9.380483,3.3255463
88367124831226,-0.60094464,-9.770737,3.2680852
88367144855419,-1.2282255,-8.59279,3.4715924
88367164882649,-1.2689269,-8.346188,4.0342298
88367184916265,-0.40701428,-9.28232,4.2281604
88367204955803,-0.4357447,-9.629479,4.2281604
88367225544764,-0.6631939,-8.920795,4.0318356
88367247334995,-0.5315128,-8.626308,4.2401314
88367265049341,-0.23223756,-8.645462,4.2161894
88367285069033,-0.5554548,-9.14585,4.074931
88367305096110,-0.14604631,-9.308656,3.98874
88367325128802,-0.14604631,-9.44752,3.8594532
88367345161341,-0.12210429,-8.719683,3.8714242
88367365188110,-0.7254431,-8.532935,3.7900212
88367385772302,-0.35194764,-9.320627,4.074931
88367406786725,-0.24899697,-10.204087,4.4101195
88367425292033,-0.36631286,-9.976639,4.0677485
88367445317725,-0.4429273,-10.081984,4.211401
88367465344648,-0.10295067,-10.381259,4.06296
88367485384533,0.016759412,-9.97185,3.9264908
88367505410609,0.12210429,-9.160215,3.8474822
88367525436032,-0.24660277,-8.200141,3.9671922
88367546019686,-0.4309563,-8.540117,4.132392
88367567828148,-0.44771573,-8.63828,4.134786
88367585549071,-0.2681506,-8.3868885,4.189853
88367605579955,-0.059855044,-8.497022,4.0533834
88367625622917,-0.07182605,-9.100361,4.0078936
88367645652263,-0.39983168,-9.706094,3.7780502
88367665676801,-0.30166942,-10.065224,3.5577838
88367685699609,-0.46447513,-9.950302,3.490746
88367706285609,-0.39264908,-9.540894,3.394978
88367727265532,-0.33039984,-9.224859,3.2273839
88367745798416,-0.21068975,-8.808268,3.5338416
88367765817801,-0.12689269,-8.7292595,3.7062242
88367785836416,-0.20590134,-8.772355,3.892972
88367805864801,-0.5770026,-8.74123,3.9839516
88367825890301,-0.35194764,-9.112331,4.189853
88367845912070,-0.079008654,-9.227253,4.189853
88367866496570,-0.23223756,-9.346964,4.0198646
88367888300108,-0.50278234,-9.052477,3.6990416
88367906021339,-0.320823,-9.066842,3.550601
88367926053569,-0.20590134,-9.306262,3.4883518
88367946075839,-0.21547815,-9.55047,3.1675289
88367966099608,-0.30406362,-9.186552,3.098097
88367986124646,-0.18914193,-8.930372,3.3686419
88368006153223,0.39264908,-9.244013,3.4715924
88368026746069,0.09816227,-9.639056,3.7086184
88368047773107,-0.48362875,-9.591172,3.6104562
88368066316069,-0.17238252,-10.199299,3.241749
88368086294453,0.3878607,-10.261548,3.0693667
88368106353684,-0.14844051,-9.41879,2.9233203
88368126322222,-0.25617957,-8.884883,2.7485435
88368146371607,0.15083471,-9.289502,2.633622
88368166370838,-0.24181437,-9.583989,2.5378537
88368186981491,-1.1013328,-9.65821,2.5378537
88368208755645,-0.89064306,-9.306262,2.8275523
88368226505799,-0.5243302,-9.947908,3.2680852
88368246500299,0.5482722,-9.598354,3.6343982
88368266551645,-0.06943185,-9.43076,3.6870706
88368286556222,-0.32561144,-8.949526,2.3080103
88368306603299,-0.25139117,-8.226477,3.3135753
88368326598299,-0.16280572,-8.413225,5.0278234
88368347206452,0.15322891,-8.259995,4.9081135
88368368164837,0.5386954,-8.00621,5.171476
88368386726683,0.17956513,-8.082825,4.8243165
88368406731837,-0.050278235,-8.781932,4.2664676
88368426780414,0.17238252,-9.368511,3.7708676
88368446779990,-0.29448682,-9.244013,3.4524388
88368466803413,-0.08379706,-9.742006,3.1364043
88368486819452,0.260968,-10.278308,2.2266076
88368507401067,0.088585466,-10.251971,2.3295584
88368529196567,-0.7398083,-9.832987,2.183512
88368546901605,-0.47165772,-9.514558,2.1260512
88368566921182,0.37110126,-9.437943,2.0494366
88368586947567,0.20350714,-9.246407,2.1906946
88368606958836,-0.49799395,-8.935161,2.5761611
88368626973951,0.110133275,-8.860941,2.6910827
88368646992182,-0.009576807,-9.212888,3.0262709
88368667568874,0.25857377,-8.8777,3.1627405
88368688579643,-0.61770403,-9.976639,3.3973722
88368707062105,-1.0175357,-9.758766,3.071761
88368727067105,-0.82121116,-9.471462,2.7748797
88368747072182,0.10534488,-9.198523,2.315193
88368767080605,0.7422025,-8.389283,2.7389667
88368787091566,0.016759412,-9.404425,2.789245
88368807098604,-0.7015011,-12.409147,3.715801
88368827670951,-0.5554548,-10.960655,3.2513258
88368849465912,0.46208093,-8.099585,4.003105
88368867182450,0.6799533,-8.346188,4.560954
88368887206104,-0.45250413,-8.803479,4.201824
88368907222181,-0.20829555,-9.176975,4.1132383
88368927245950,0.5530606,-9.576807,4.3287168
88368947269258,-0.088585466,-9.346964,4.0078936
88368967284335,-1.1444284,-9.126697,3.4524388
88368987859988,-1.460463,-7.4483614,3.3303347
88369008840296,-0.79248077,-7.405266,3.5577838
88369027374796,0.5434838,-6.871359,3.4141316
88369047390373,0.016759412,-9.038112,3.6750996
88369067420142,-0.5243302,-10.510546,3.9480386
88369087440642,-0.19871874,-12.081141,4.0797195
88369107464988,0.85473,-11.178528,4.369418
88369127488103,0.272939,-10.196905,3.9360676
88369148069488,-0.21787235,-9.090784,3.514688
88369169865026,-1.0127473,-8.327033,3.7062242
88369187589488,0.06943185,-7.8505874,4.3502645
88369207608372,0.93852705,-8.0684595,4.441244
88369227626680,1.7764976,-8.403648,4.5633483
88369247642526,0.49081135,-8.678981,4.7668557
88369267657603,-0.8834604,-9.651027,4.7979803
88369287665833,-0.1604115,-8.942344,4.6782703
88369308236949,0.9888053,-6.8785415,4.9775453
88369329238372,0.80205756,-6.50744,5.140351
88369347716872,-0.28491,-8.6334915,5.377377
88369367720872,0.80924016,-9.773131,5.7125654
88369387731871,1.0199299,-9.473856,5.590461
88369407747487,1.0821792,-8.453926,5.183447
88369427765717,0.59136784,-10.366894,4.534618
88369447772140,-0.25378537,-9.579201,4.2161894
88369468351410,-0.16280572,-10.486604,4.489128
88369490138910,0.15083471,-9.583989,4.074931
88369507872179,0.016759412,-8.118738,3.6607344
88369527863602,-0.36870706,-7.5920134,3.4739866
88369547875986,-0.37349546,-9.102755,4.6782703
88369567880986,0.007182605,-8.779537,5.5042696
88369587887294,-0.7422025,-8.37013,5.5760956
88369607893794,-0.62249243,-8.034941,5.0517654
88369628459255,-0.33758244,-7.929596,5.0278234
88369649424024,-0.8690952,-9.143456,5.1259856
88369667951947,-0.62249243,-9.179369,5.2648497
88369687962024,0.11492168,-8.190564,4.987122
88369707962947,-0.37828386,-8.276755,4.735731
88369727968216,-1.1540052,-8.384495,4.498705
88369747979062,-0.6991069,-8.542512,4.7261543
88369767989601,-0.29448682,-7.869741,4.96318
88369788562062,0.31364042,-6.3901243,4.8027687
88369810348255,-0.050278235,-6.0118403,4.6926355
88369828064754,-0.5770026,-7.9511437,5.374983
88369848082985,-0.12449849,-10.029311,6.1123967
88369868097447,-0.51235914,-9.679757,5.8634
88369888107062,0.093373865,-8.128315,5.770026
88369908116370,0.36152446,-7.1347213,5.8107276
88369928118177,0.11971009,-6.564901,6.093243
88369948678292,-0.06464344,-6.682217,6.8162923
88369969679908,1.2473791,-6.6606693,7.21373
88369988157062,1.3215994,-7.3525934,7.503428
88370008154946,1.4508862,-7.419631,8.580819
88370028154408,-0.31603462,-7.1083846,9.3661175
88370048160946,-0.78050977,-7.0245876,9.715671
88370068169138,-1.0223241,-8.990228,9.212888
88370088170907,-0.23223756,-7.762002,8.133103
88370108741138,-0.81881696,-7.678205,7.299921
88370130525099,-0.82599956,-6.777985,6.6103907
88370148228330,-0.8714894,-6.5457473,5.829881
88370168233715,0.2777274,-6.399701,5.631162
88370188248330,0.1604115,-6.3709707,5.535394
88370208252099,-0.39025488,-7.0724716,5.523423
88370228259407,-0.35913026,-6.7803793,5.2768207
88370248269714,-0.1364695,-7.441179,5.3965306
88370268844099,-1.4460979,-7.603985,5.6670756
88370289806137,-1.4532804,-7.129933,5.485116
88370308325137,-0.866701,-5.1762643,4.879383
88370328329137,-0.2873042,-6.1195793,4.24492
88370348334945,0.031124622,-5.9543796,3.4763808
88370368332868,-0.6536171,-5.5497594,2.765303
88370388338906,0.095768064,-9.363723,5.2744265
88370408338983,-0.21308395,-11.877635,7.417237
88370428906906,-1.1372458,-10.534488,6.6486983
88370450685829,-1.0821792,-10.953473,6.155493
88370468385906,-0.6847417,-11.262324,5.729325
88370488398060,-2.396596,-11.243171,4.747702
88370508414713,-3.1435869,-10.500969,4.39336
88370528420213,-2.4756045,-10.2495775,4.534618
88370548435521,-2.6839,-9.351752,3.7301662
88370568450098,-3.466804,-8.59279,2.195483
88370589019482,-2.492364,-8.520964,1.8722657
88370610030713,-1.352724,-9.284714,2.4181437
88370628507944,-1.769315,-8.635885,2.4396915
88370648524444,-2.693477,-6.399701,0.7015011
88370668538751,-2.432509,-7.055712,0.7158663
88370688556020,-1.1731589,-8.475474,1.7142484
88370708573597,-1.4652514,-8.607155,2.1906946
88370728588328,-2.2529438,-8.74123,1.5610195
88370749156597,-1.1492168,-7.8625584,1.3192052
88370770943635,-1.8818425,-7.9272017,0.39264908
88370788645635,-2.5450363,-9.193734,0.94092125
88370808654597,-1.3503298,-8.614338,1.9249382
88370828658366,-1.1492168,-9.548077,2.480393
88370848662674,-1.283292,-10.125079,1.9249382
88370868666712,-1.4915876,-9.809045,1.5466543
88370888669443,-1.4317327,-9.799467,2.111686
88370909240635,-1.1013328,-10.204087,2.4947581
88370930207904,-1.2497733,-10.642226,2.2290018
88370948727135,-1.3575124,-10.21127,1.8746599
88370968728942,-0.78769237,-10.364499,2.066196
88370988735673,-1.5753847,-10.184934,1.7501614
88371008804942,-0.85473,-10.805033,2.195483
88371028830442,-0.36631286,-10.771513,2.2960393
88371048845057,-0.7134721,-10.745177,2.1188686
88371069474250,-1.8698715,-10.268731,2.0135236
88371091229173,-0.8355764,-10.491392,2.4468741
88371108985673,-0.4429273,-10.259154,2.5258827
88371128961096,-0.7469909,-10.084377,2.4372973
88371148995365,-1.0989386,-9.540894,2.7246015
88371168964672,-0.7134721,-9.478644,2.822764
88371189002403,-0.7110779,-9.80665,2.8491
88371208990403,-0.79966336,-9.488221,3.0023289
88371229593595,-1.1013328,-9.083601,2.858677
88371250587441,-0.5267244,-9.315839,2.480393
88371269097634,0.61530983,-9.576807,2.4396915
